28,29,0,1,28,29,28,29,28,29,28,29,29,28,29,29,28,29,1,16,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,15,37,38,28,29,28,29,28,29,37,38,37,38,37,38,28,29,28,29,28,29,28,29,28,29,28,29,28,28,29,0,1,0,1,28,29
29,16,.,.,34,0,1,0,1,28,29,28,29,28,28,29,0,16,.,.,.,.,.,.,.,.,.,*,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,15,1,37,28,28,29,37,38,0,1,0,1,0,1,37,38,37,38,37,38,37,38,37,38,37,38,37,38,16,.,.,.,.,34,28
17,.,.,.,.,.,.,.,.,34,1,0,1,0,1,35,.,.,.,.,.,.,.,.,.,.,22,23,24,.,.,.,.,.,.,.,.,!,.,.,.,.,.,.,.,.,.,%,.,.,.,.,.,!,.,.,.,15,37,37,38,0,35,.,.,.,.,.,.,34,0,1,28,29,28,29,28,29,28,29,0,1,16,.,.,.,.,.,.,2
8,.,@,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,31,32,33,.,.,.,.,.,.,.,.,.,.,.,|,|,.,.,.,.,22,23,24,.,.,.,.,.,.,.,.,.,34,0,35,.,.,.,.,.,.,.,.,.,.,.,34,0,1,0,1,0,1,16,.,.,.,.,.,.,*,.,.,11
17,.,.,.,.,.,.,.,.,!,.,.,.,.,.,.,%,.,.,.,.,|,|,.,!,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,43,44,.,.,.,.,31,32,33,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,2
33,.,.,.,.,.,.,|,|,|,.,.,*,.,.,.,.,.,.,.,.,43,44,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,|,|,.,.,.,.,.,.,.,.,.,.,.,.,.,!,.,.,.,.,.,.,.,.,.,%,.,.,!,.,11
3,4,5,3,9,10,3,4,5,3,4,9,3,9,10,26,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,22,23,24,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,6,10,9,10,9,26,.,.,.,.,.,.,.,.,25,10,10,7,.,*,6,10,4,9,10,7,.,|,|,|,.,.,2
28,28,28,28,29,37,37,37,37,37,37,37,37,37,28,28,7,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,31,32,33,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,11,28,28,28,29,28,26,!,.,.,.,%,.,!,11,28,29,28,9,10,28,28,29,28,29,28,9,3,4,9,26,.,11
37,37,37,28,28,37,38,38,38,29,29,28,29,28,29,37,37,10,10,3,9,7,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,6,10,4,20,21,.,2,37,37,28,28,37,28,26,.,.,.,.,.,.,2,28,29,28,29,28,29,37,38,37,38,28,29,28,29,28,17,.,2
37,38,38,37,28,28,28,37,38,38,38,29,28,28,28,29,29,29,37,28,28,29,26,.,.,.,.,.,.,.,.,.,.,.,.,.,.,43,44,.,.,.,.,.,.,.,.,.,*,.,6,28,29,29,28,8,.,11,37,38,28,29,29,37,37,10,3,4,7,.,.,15,37,38,37,38,37,38,28,29,28,29,28,29,37,38,28,8,.,11
