38,37,38,37,38,37,38,37,38,16,.,.,15,37,38,37,38,37,38,37,38,37,38,37,38,37,38,0,16,.,.,.,2,38,1,1,16,.,.,15,37,38,37,38,37,38,37,38,37,38,37,38,37,38,37,38,37,38,37,38,37,38,37,38,37,38,37,38,37,16,.,.,.,.,.,.,2,38,37,38,37,38,37,38,37,38,37,38,37,38
29,28,29,28,29,28,29,28,16,.,.,.,.,15,0,0,0,0,29,28,29,28,29,28,29,28,16,.,.,.,.,.,15,16,.,.,.,.,.,.,15,1,28,29,28,29,28,29,28,29,28,29,28,29,28,29,28,29,1,1,1,1,1,1,1,1,1,1,16,.,.,.,.,.,.,.,15,29,28,29,28,29,28,29,28,29,28,29,28,29
38,37,38,37,38,37,38,16,.,.,.,.,.,.,.,.,.,.,15,37,38,37,38,37,0,16,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,15,1,37,38,37,38,37,38,37,38,37,38,37,38,1,16,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,15,1,38,37,38,37,38,37,38,37,38,37,38
29,28,29,28,0,0,16,.,.,.,.,.,.,.,.,.,.,.,.,15,29,28,29,16,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,*,.,.,.,15,1,1,29,28,29,28,29,28,29,1,16,.,.,.,.,.,.,.,.,.,*,.,.,.,.,.,.,.,.,.,.,.,.,.,15,28,29,28,29,28,29,1,29,28,29
38,37,0,16,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,15,0,16,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,15,1,1,1,1,1,16,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,15,1,37,38,1,16,.,15,37,38
29,16,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,|,|,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,!,.,.,.,.,.,%,.,.,.,!,.,.,15,16,.,.,.,.,15,29
17,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,6,10,10,7,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,22,23,24,.,.,.,.,.,.,.,.,.,.,.,.,15
8,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,!,.,.,.,.,.,%,*,.,.,!,.,.,.,.,.,.,.,11,37,37,37,7,!,.,.,%,.,|,.,!,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,31,32,33,.,.,.,.,.,.,.,.,.,.,.,.,.
17,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,|,.,6,7,.,.,.,.,.,.,.,.,.,6,28,37,37,37,37,7,|,.,.,6,10,7,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,!,.,.,%,|,.,!,.,.,.,.,.,.,.,.,.,.,.,.,.,*,.,.,.
8,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,6,9,9,28,29,7,.,.,.,.,.,.,.,.,15,0,37,37,37,37,29,9,10,9,28,37,29,10,7,.,.,.,.,.,.,.,.,.,.,.,.,.,.,6,10,10,10,7,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
17,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,6,38,37,38,37,38,17,.,.,.,.,.,.,.,.,.,.,15,0,0,37,37,37,37,38,1,1,1,37,29,10,7,.,.,.,.,!,.,%,s,.,.,!,6,37,37,37,37,37,7,.,.,.,.,.,.,.,.,.,.,.,|,|,.,.,.,.
8,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,6,28,29,28,29,28,29,30,20,.,.,.,.,.,.,.,.,.,.,.,.,15,37,38,1,16,.,.,.,15,1,0,16,.,.,.,.,.,22,23,24,.,.,.,11,37,37,37,37,37,37,7,|,.,.,.,.,.,.,.,.,22,23,24,.,.,.,.
17,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,6,38,37,38,37,38,37,38,37,17,.,.,.,.,.,.,.,.,.,.,.,.,.,15,16,.,.,.,.,.,.,.,.,.,.,*,.,.,.,31,32,33,.,.,6,37,37,37,37,37,37,37,37,7,.,.,.,.,.,.,.,.,31,32,33,.,.,.,.
8,.,.,@,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,6,28,29,28,29,28,29,28,29,28,8,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,22,23,24,.,.,.,.,.,.,6,37,37,37,37,37,37,37,37,37,37,7,!,%,.,.,.,.,!,.,.,.,.,.,.,.
17,.,.,.,.,.,.,!,.,|,.,|,%,.,.,!,.,.,.,.,11,38,37,38,37,38,37,38,37,38,17,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,31,32,33,.,.,.,.,.,6,37,37,37,37,37,37,37,37,37,37,37,37,10,7,.,.,.,.,.,.,.,.,.,.,.,.
