28,28,28,29,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,29,28,28,28,28,29,28,29,28,28,29,28,28,29,0,1,16,.,.,.,.,.,.,.,.,.,.,15,29,28,28,28,28,28,29,28,28,28,28,28,28,28,29,29,29,29,37,37,37,37,37,37,37,37,37,28,28,28,28,29,28,29,29
28,28,0,1,0,1,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,29,0,1,0,1,0,1,28,29,29,28,29,0,1,0,1,16,.,.,.,.,.,.,.,.,.,.,.,.,.,.,15,0,1,37,37,28,28,37,37,37,37,37,37,28,29,38,38,38,1,0,1,0,1,0,1,0,1,0,1,37,28,28,37,38,38
28,16,.,.,.,.,34,0,1,0,1,29,28,29,29,28,28,29,0,1,0,1,0,1,16,.,.,.,.,.,.,34,0,1,0,16,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,34,0,1,37,28,29,37,38,38,29,37,38,28,1,35,.,.,.,.,.,.,.,.,.,.,.,15,0,1,0,1,1
17,.,.,.,.,.,.,.,.,.,.,15,1,0,1,0,1,35,.,.,.,.,.,.,.,!,.,.,.,.,.,.,.,.,.,%,.,.,.,.,.,!,.,.,.,.,.,.,.,|,|,.,*,.,.,.,.,.,.,.,.,34,28,28,28,37,38,38,28,28,16,.,.,.,!,.,.,.,|,|,.,*,.,.,.,%,.,!,.,.
8,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,|,|,|,.,25,10,26,.,.,*,.,.,.,.,.,|,|,.,.,.,.,.,.,.,25,3,4,5,9,10,7,.,.,.,.,.,.,.,.,34,28,37,37,38,0,1,35,.,.,.,.,.,.,6,3,4,5,9,10,26,.,.,.,.,.,.,.
17,.,.,.,.,.,*,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,6,9,10,9,10,28,28,29,10,3,4,5,10,9,9,3,4,10,26,.,.,.,.,.,25,28,28,28,28,28,29,29,7,.,.,.,.,.,.,.,.,34,1,1,35,.,.,.,.,.,.,43,44,.,11,28,28,29,28,29,29,7,.,.,.,.,.,.
8,.,.,.,.,43,44,.,.,.,.,.,.,.,.,.,.,.,.,.,.,6,28,29,29,29,29,29,29,29,38,37,38,37,37,37,37,37,28,29,38,26,.,.,.,.,11,37,37,37,37,28,28,29,17,.,.,43,44,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,2,37,28,28,37,38,29,29,10,26,.,.,.,.
17,.,@,.,.,.,.,.,.,.,.,.,.,.,.,.,22,23,24,.,.,11,28,29,38,38,38,38,29,29,38,38,38,29,29,29,29,29,28,29,38,17,.,.,#,.,2,28,29,29,29,29,29,29,8,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,34,0,1,28,37,38,38,38,38,17,.,.,.,.
8,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,31,32,33,.,.,2,28,28,29,29,29,38,38,38,29,37,28,29,38,38,38,38,28,29,38,8,.,.,.,.,34,37,38,38,38,0,1,1,16,.,.,.,.,.,.,.,.,#,.,.,.,.,.,.,|,|,|,.,.,.,.,.,.,15,0,1,37,37,38,8,.,.,.,.
17,.,.,.,.,.,.,.,.,.,|,|,|,.,.,.,.,.,.,.,.,11,28,28,28,29,38,29,37,38,38,29,37,28,29,38,37,28,29,29,38,17,.,.,.,.,.,34,0,1,16,.,.,.,.,.,.,.,.,.,.,.,22,23,24,.,.,.,.,.,22,23,24,.,.,.,.,.,.,.,.,.,34,0,1,16,.,.,.,.
